FID,Economy,Category,Sitename,Elevation_,Chronology,NPP
182,Fishing/Foraging,Anth, , , ,918
183,Fishing/Foraging,Anth, , , ,0
184,Fishing/Foraging,Anth, , , ,424
185,Fishing/Foraging,Anth, , , ,424
186,Fishing/Foraging,Anth, , , ,1283
187,Fishing/Foraging,Anth, , , ,0
188,Fishing/Foraging,Anth, , , ,0
189,Fishing/Foraging,Anth, , , ,74
190,Fishing/Foraging,Anth, , , ,74
191,Fishing/Foraging,Anth, , , ,0
192,Fishing/Foraging,Anth, , , ,0
193,Fishing/Foraging,Anth, , , ,364
194,Fishing/Foraging,Anth, , , ,99
195,Fishing/Foraging,Anth, , , ,641
196,Fishing/Foraging,Anth, , , ,1132
197,Fishing/Foraging,Anth, , , ,0
198,Fishing/Foraging,Anth, , , ,0
199,Fishing/Foraging,Anth, , ,Late,0
200,Fishing/Foraging,Anth, , , ,0
201,Fishing/Foraging,Anth, , , ,0
202,Fishing/Foraging,Anth, , ,Late,0
203,Fishing/Foraging,Anth, , , ,372
204,Fishing/Foraging,Anth, , , ,0
205,Fishing/Foraging,Anth, , , ,0
206,Fishing/Foraging,Anth, , , ,0
207,Fishing/Foraging,Anth, , , ,948
208,Fishing/Foraging,Anth, , , ,2425
209,Fishing/Foraging,Anth, , , ,0
210,Fishing/Foraging,Anth, , , ,0
211,Fishing/Foraging,Anth, , , ,0
212,Fishing/Foraging,Anth, , , ,1033
213,Fishing/Foraging,Anth, , , ,1368
214,Fishing/Foraging,Anth, , , ,1592
215,Fishing/Foraging,Anth, , , ,2027
216,Fishing/Foraging,Anth, , , ,1592
217,Fishing/Foraging,Anth, , , ,0
218,Fishing/Foraging,Anth, , , ,751
219,Fishing/Foraging,Anth, , , ,751
220,Fishing/Foraging,Anth, , , ,1292
221,Mixed Econ,Anth, , , ,0
222,Mixed Econ,Anth, , , ,0
223,Mixed Econ,Anth, , , ,584
224,Mixed Econ,Anth, , , ,388
225,Mixed Econ,Anth, , , ,0
226,Mixed Econ,Anth, , , ,0
227,Mixed Econ,Anth, , ,Middle,831
228,Mixed Econ,Anth, , , ,0
