FID,Wet_Maxent,NPP,Economy,Category,Status,Sitename
406,1,307,Fishing/Foraging,Anth,Predict,
216,1,308,Fishing/Foraging,Anth,Predict,
544,3,309,Non Anth,Non Anth,Predict,
571,1,310,Fishing/Foraging,Anth,Predict,
228,1,328,Fishing/Foraging,Anth,Predict,
646,1,328,Fishing/Foraging,Anth,Predict,
661,1,338,Fishing/Foraging,Anth,Predict,
743,1,339,Fishing/Foraging,Anth,Predict,
664,1,340,Fishing/Foraging,Anth,Predict,
413,1,346,Fishing/Foraging,Anth,Predict,
484,3,348,Non Anth,Non Anth,Predict,
869,1,351,Mixed,Anth,Predict,
539,1,356,Fishing/Foraging,Anth,Predict,
552,1,356,Fishing/Foraging,Anth,Predict,
695,1,366,Fishing/Foraging,Anth,Predict,
408,1,367,Fishing/Foraging,Anth,Predict,
682,1,367,Fishing/Foraging,Anth,Predict,
690,1,367,Fishing/Foraging,Anth,Predict,
654,1,383,Fishing/Foraging,Anth,Predict,
835,1,385,Fishing/Foraging,Anth,Predict,
387,1,386,Fishing/Foraging,Anth,Predict,
573,1,386,Fishing/Foraging,Anth,Predict,
827,1,387,Fishing/Foraging,Anth,Predict,
843,1,387,Fishing/Foraging,Anth,Predict,
307,3,393,Non Anth,Non Anth,Predict,
538,1,393,Fishing/Foraging,Anth,Predict,
692,1,397,Fishing/Foraging,Anth,Predict,
648,1,399,Fishing/Foraging,Anth,Predict,
409,3,402,Non Anth,Non Anth,Predict,
686,1,411,Fishing/Foraging,Anth,Predict,
404,4,415,Pastoralist,Anth,Predict,
309,1,424,Fishing/Foraging,Anth,Predict,
398,3,426,Non Anth,Non Anth,Predict,
674,1,431,Fishing/Foraging,Anth,Predict,
425,1,433,Pastoralist,Anth,Predict,
231,3,437,Mixed,Anth,Predict,
249,3,439,Pastoralist,Anth,Predict,
481,1,440,Fishing/Foraging,Anth,Predict,
694,1,442,Fishing/Foraging,Anth,Predict,
375,1,444,Fishing/Foraging,Anth,Predict,
709,1,457,Fishing/Foraging,Anth,Predict,
716,3,457,Non Anth,Non Anth,Predict,
237,1,458,Fishing/Foraging,Anth,Predict,
737,1,474,Fishing/Foraging,Anth,Predict,
873,1,479,Pastoralist,Anth,Predict,
482,1,485,Fishing/Foraging,Anth,Predict,
656,1,489,Fishing/Foraging,Anth,Predict,
658,1,490,Fishing/Foraging,Anth,Predict,
689,1,491,Fishing/Foraging,Anth,Predict,
