FID,Wet_Maxent,NPP,Economy,Anthro
674,1,431,Fishing/Foraging,Anth
425,1,433,Pastoralist,Anth
231,3,437,Mixed,Anth
249,3,439,Pastoralist,Anth
481,1,440,Fishing/Foraging,Anth
694,1,442,Fishing/Foraging,Anth
375,1,444,Fishing/Foraging,Anth
709,1,457,Fishing/Foraging,Anth
716,3,457,Non Anth,Non Anth
237,1,458,Fishing/Foraging,Anth
737,1,474,Fishing/Foraging,Anth
873,1,479,Pastoralist,Anth
482,1,485,Fishing/Foraging,Anth
656,1,489,Fishing/Foraging,Anth
658,1,490,Fishing/Foraging,Anth
689,1,491,Fishing/Foraging,Anth
371,1,493,Fishing/Foraging,Anth
673,1,495,Fishing/Foraging,Anth
390,1,499,Fishing/Foraging,Anth
485,3,511,Non Anth,Non Anth
722,1,511,Fishing/Foraging,Anth
862,1,511,Pastoralist,Anth
476,1,512,Fishing/Foraging,Anth
9,1,516,Fishing/Foraging,Anth
6,1,519,Fishing/Foraging,Anth
610,1,522,Pastoralist,Anth
697,1,528,Fishing/Foraging,Anth
840,1,529,Fishing/Foraging,Anth
400,4,533,Pastoralist,Anth
823,1,540,Fishing/Foraging,Anth
824,1,540,Fishing/Foraging,Anth
378,4,545,Pastoralist,Anth
678,1,565,Fishing/Foraging,Anth
848,1,574,Mixed,Anth
182,1,581,Fishing/Foraging,Anth
542,1,583,Fishing/Foraging,Anth
663,1,584,Fishing/Foraging,Anth
240,1,587,Mixed,Anth
316,1,601,Fishing/Foraging,Anth
870,1,603,Mixed,Anth
496,1,604,Fishing/Foraging,Anth
337,1,605,Mixed,Anth
7,1,610,Fishing/Foraging,Anth
822,3,615,Non Anth,Non Anth
559,3,616,Non Anth,Non Anth
310,1,617,Fishing/Foraging,Anth
314,3,617,Non Anth,Non Anth
383,3,617,Non Anth,Non Anth
402,3,617,Non Anth,Non Anth
492,1,626,Fishing/Foraging,Anth
486,1,632,Fishing/Foraging,Anth
549,1,634,Fishing/Foraging,Anth
830,1,642,Fishing/Foraging,Anth
787,1,643,Fishing/Foraging,Anth
233,1,644,Mixed,Anth
16,1,645,Fishing/Foraging,Anth
278,1,645,Pastoralist,Anth
230,1,651,Fishing/Foraging,Anth
871,1,658,Mixed,Anth
477,3,672,Non Anth,Non Anth
491,1,672,Fishing/Foraging,Anth
683,1,675,Fishing/Foraging,Anth
860,1,679,Mixed,Anth
764,4,683,Pastoralist,Anth
780,1,683,Fishing/Foraging,Anth
236,1,686,Mixed,Anth
317,1,691,Fishing/Foraging,Anth
352,1,693,Fishing/Foraging,Anth
13,1,694,Fishing/Foraging,Anth
234,4,696,Mixed,Anth
334,1,699,Fishing/Foraging,Anth
849,1,699,Mixed,Anth
527,1,706,Fishing/Foraging,Anth
821,1,708,Fishing/Foraging,Anth
381,1,712,Fishing/Foraging,Anth
495,1,714,Fishing/Foraging,Anth
503,1,717,Fishing/Foraging,Anth
369,1,718,Mixed,Anth
331,1,719,Fishing/Foraging,Anth
339,1,725,Mixed,Anth
659,1,728,Fishing/Foraging,Anth
727,1,731,Fishing/Foraging,Anth
308,1,732,Fishing/Foraging,Anth
244,1,733,Pastoralist,Anth
377,1,749,Fishing/Foraging,Anth
305,1,752,Fishing/Foraging,Anth
490,1,752,Fishing/Foraging,Anth
904,1,757,Fishing/Foraging,Anth
660,1,762,Fishing/Foraging,Anth
650,1,765,Fishing/Foraging,Anth
649,1,769,Fishing/Foraging,Anth
855,1,772,Pastoralist,Anth
1,3,773,Non Anth,Non Anth
11,1,775,Fishing/Foraging,Anth
338,1,777,Fishing/Foraging,Anth
688,1,778,Fishing/Foraging,Anth
348,1,790,Fishing/Foraging,Anth
17,2,795,Mixed,Anth
365,1,795,Fishing/Foraging,Anth
641,1,800,Fishing/Foraging,Anth
739,1,800,Fishing/Foraging,Anth
399,4,807,Pastoralist,Anth
845,3,810,Mixed,Anth
46,1,821,Mixed,Anth
0,3,824,Mixed,Anth
556,1,825,Fishing/Foraging,Anth
852,1,833,Mixed,Anth
40,2,836,Non Anth,Non Anth
483,1,836,Fishing/Foraging,Anth
655,1,844,Fishing/Foraging,Anth
326,1,848,Fishing/Foraging,Anth
2,3,849,Non Anth,Non Anth
186,1,849,Fishing/Foraging,Anth
344,1,855,Mixed,Anth
370,1,868,Fishing/Foraging,Anth
373,3,868,Non Anth,Non Anth
666,1,871,Fishing/Foraging,Anth
322,1,876,Fishing/Foraging,Anth
479,1,889,Fishing/Foraging,Anth
676,1,891,Fishing/Foraging,Anth
679,1,898,Fishing/Foraging,Anth
714,1,899,Fishing/Foraging,Anth
335,1,902,Fishing/Foraging,Anth
384,1,912,Fishing/Foraging,Anth
351,1,915,Fishing/Foraging,Anth
696,1,917,Fishing/Foraging,Anth
32,1,921,Mixed,Anth
345,1,921,Fishing/Foraging,Anth
229,4,928,Pastoralist,Anth
592,2,930,Non Anth,Non Anth
364,1,931,Fishing/Foraging,Anth
638,1,931,Fishing/Foraging,Anth
210,4,936,Pastoralist,Anth
3,1,937,Fishing/Foraging,Anth
526,1,938,Fishing/Foraging,Anth
354,1,940,Fishing/Foraging,Anth
667,1,944,Fishing/Foraging,Anth
497,1,948,Fishing/Foraging,Anth
892,1,952,Fishing/Foraging,Anth
478,3,953,Non Anth,Non Anth
330,3,955,Non Anth,Non Anth
174,3,958,Non Anth,Non Anth
546,4,961,Pastoralist,Anth
711,4,973,Mixed,Anth
758,1,984,Fishing/Foraging,Anth
412,1,985,Fishing/Foraging,Anth
790,1,988,Fishing/Foraging,Anth
415,1,996,Fishing/Foraging,Anth
303,1,1001,Fishing/Foraging,Anth
645,1,1005,Fishing/Foraging,Anth
515,1,1009,Mixed,Anth
533,1,1009,Mixed,Anth
487,1,1012,Fishing/Foraging,Anth
493,1,1012,Fishing/Foraging,Anth
858,1,1012,Mixed,Anth
181,2,1015,Non Anth,Non Anth
392,1,1018,Fishing/Foraging,Anth
394,1,1020,Fishing/Foraging,Anth
355,1,1021,Fishing/Foraging,Anth
403,1,1026,Fishing/Foraging,Anth
343,1,1030,Fishing/Foraging,Anth
358,1,1033,Mixed,Anth
818,1,1038,Fishing/Foraging,Anth
647,1,1043,Fishing/Foraging,Anth
25,1,1044,Mixed,Anth
226,4,1051,Mixed,Anth
232,1,1052,Fishing/Foraging,Anth
519,1,1052,Fishing/Foraging,Anth
238,4,1056,Pastoralist,Anth
861,4,1056,Mixed,Anth
220,4,1072,Pastoralist,Anth
836,1,1076,Fishing/Foraging,Anth
796,1,1082,Fishing/Foraging,Anth
591,1,1087,Pastoralist,Anth
29,4,1088,Mixed,Anth
494,4,1088,Pastoralist,Anth
853,4,1088,Mixed,Anth
340,1,1093,Fishing/Foraging,Anth
296,1,1094,Mixed,Anth
776,1,1095,Fishing/Foraging,Anth
884,1,1108,Fishing/Foraging,Anth
424,1,1110,Pastoralist,Anth
44,1,1119,Mixed,Anth
411,1,1120,Fishing/Foraging,Anth
532,1,1123,Mixed,Anth
751,4,1124,Pastoralist,Anth
201,1,1132,Fishing/Foraging,Anth
898,4,1132,Pastoralist,Anth
730,4,1133,Pastoralist,Anth
488,1,1139,Fishing/Foraging,Anth
530,1,1142,Mixed,Anth
204,4,1144,Mixed,Anth
179,2,1154,Non Anth,Non Anth
349,1,1158,Fishing/Foraging,Anth
261,1,1167,Mixed,Anth
756,2,1168,Non Anth,Non Anth
359,1,1170,Mixed,Anth
752,4,1173,Mixed,Anth
362,1,1179,Mixed,Anth
789,4,1179,Pastoralist,Anth
525,4,1182,Pastoralist,Anth
197,2,1191,Non Anth,Non Anth
27,1,1192,Mixed,Anth
882,4,1193,Pastoralist,Anth
653,1,1194,Fishing/Foraging,Anth
507,1,1195,Mixed,Anth
769,1,1195,Fishing/Foraging,Anth
26,4,1204,Mixed,Anth
324,1,1213,Fishing/Foraging,Anth
311,1,1214,Fishing/Foraging,Anth
405,1,1216,Fishing/Foraging,Anth
28,1,1218,Mixed,Anth
504,1,1218,Mixed,Anth
616,1,1223,Fishing/Foraging,Anth
341,1,1226,Fishing/Foraging,Anth
672,1,1230,Fishing/Foraging,Anth
363,1,1232,Fishing/Foraging,Anth
198,2,1233,Mixed,Anth
227,1,1234,Mixed,Anth
327,1,1236,Fishing/Foraging,Anth
207,4,1237,Pastoralist,Anth
859,4,1239,Mixed,Anth
896,1,1240,Fishing/Foraging,Anth
191,1,1241,Fishing/Foraging,Anth
510,1,1253,Mixed,Anth
214,2,1258,Non Anth,Non Anth
325,1,1258,Fishing/Foraging,Anth
302,1,1260,Fishing/Foraging,Anth
471,1,1260,Pastoralist,Anth
881,1,1261,Fishing/Foraging,Anth
189,1,1263,Mixed,Anth
887,1,1268,Fishing/Foraging,Anth
428,1,1273,Pastoralist,Anth
508,1,1274,Mixed,Anth
205,4,1284,Pastoralist,Anth
268,2,1284,Mixed,Anth
397,4,1286,Pastoralist,Anth
31,1,1287,Mixed,Anth
239,1,1290,Fishing/Foraging,Anth
368,4,1304,Pastoralist,Anth
768,1,1305,Fishing/Foraging,Anth
894,1,1310,Fishing/Foraging,Anth
794,4,1311,Pastoralist,Anth
14,4,1315,Mixed,Anth
223,2,1320,Non Anth,Non Anth
644,1,1325,Fishing/Foraging,Anth
713,1,1325,Fishing/Foraging,Anth
79,2,1331,Mixed,Anth
906,1,1338,Fishing/Foraging,Anth
247,1,1339,Mixed,Anth
581,1,1346,Pastoralist,Anth
321,4,1347,Pastoralist,Anth
372,4,1351,Pastoralist,Anth
213,4,1352,Pastoralist,Anth
878,1,1353,Fishing/Foraging,Anth
605,2,1358,Non Anth,Non Anth
888,1,1359,Fishing/Foraging,Anth
498,1,1361,Mixed,Anth
161,3,1365,Non Anth,Non Anth
698,4,1365,Pastoralist,Anth
336,4,1366,Pastoralist,Anth
193,4,1372,Pastoralist,Anth
584,2,1373,Non Anth,Non Anth
171,3,1377,Non Anth,Non Anth
738,4,1377,Mixed,Anth
693,4,1378,Mixed,Anth
153,1,1381,Mixed,Anth
800,4,1386,Pastoralist,Anth
600,3,1397,Pastoralist,Anth
319,3,1402,Non Anth,Non Anth
761,4,1406,Pastoralist,Anth
854,4,1407,Mixed,Anth
502,4,1410,Mixed,Anth
867,4,1414,Mixed,Anth
382,4,1417,Pastoralist,Anth
396,4,1418,Pastoralist,Anth
810,1,1419,Pastoralist,Anth
509,1,1423,Fishing/Foraging,Anth
417,4,1425,Pastoralist,Anth
188,1,1426,Fishing/Foraging,Anth
356,1,1432,Mixed,Anth
518,4,1433,Mixed,Anth
877,4,1433,Pastoralist,Anth
851,4,1434,Pastoralist,Anth
380,1,1440,Fishing/Foraging,Anth
499,1,1441,Fishing/Foraging,Anth
419,1,1443,Pastoralist,Anth
886,1,1444,Pastoralist,Anth
876,1,1449,Fishing/Foraging,Anth
291,1,1451,Mixed,Anth
778,4,1452,Pastoralist,Anth
847,4,1455,Pastoralist,Anth
329,1,1456,Fishing/Foraging,Anth
251,1,1458,Mixed,Anth
620,1,1462,Pastoralist,Anth
775,1,1463,Fishing/Foraging,Anth
880,1,1464,Fishing/Foraging,Anth
806,1,1467,Pastoralist,Anth
190,2,1470,Non Anth,Non Anth
889,4,1471,Pastoralist,Anth
883,1,1472,Fishing/Foraging,Anth
346,4,1473,Pastoralist,Anth
604,2,1474,Pastoralist,Anth
724,4,1477,Pastoralist,Anth
765,1,1477,Fishing/Foraging,Anth
45,1,1479,Mixed,Anth
879,4,1482,Pastoralist,Anth
901,1,1482,Fishing/Foraging,Anth
33,1,1495,Mixed,Anth
320,3,1495,Non Anth,Non Anth
733,1,1495,Fishing/Foraging,Anth
895,4,1498,Pastoralist,Anth
856,4,1499,Pastoralist,Anth
202,4,1500,Pastoralist,Anth
218,4,1500,Mixed,Anth
505,1,1505,Mixed,Anth
433,1,1510,Pastoralist,Anth
863,2,1510,Pastoralist,Anth
708,4,1512,Pastoralist,Anth
196,1,1514,Fishing/Foraging,Anth
38,4,1515,Mixed,Anth
735,4,1516,Pastoralist,Anth
700,4,1519,Pastoralist,Anth
