FID,Wet_Maxent,NPP,Economy,Anthro
270,1,2228,Mixed,Anth
259,4,2231,Mixed,Anth
107,2,2232,Mixed,Anth
426,4,2234,Mixed,Anth
603,1,2236,Pastoralist,Anth
144,1,2239,Mixed,Anth
290,1,2239,Mixed,Anth
801,4,2239,Pastoralist,Anth
262,4,2240,Mixed,Anth
60,4,2245,Mixed,Anth
802,4,2246,Pastoralist,Anth
48,2,2249,Mixed,Anth
449,1,2251,Mixed,Anth
137,4,2252,Mixed,Anth
593,4,2252,Pastoralist,Anth
63,2,2253,Mixed,Anth
100,2,2258,Mixed,Anth
267,1,2259,Mixed,Anth
614,4,2267,Pastoralist,Anth
782,4,2274,Pastoralist,Anth
798,1,2276,Pastoralist,Anth
623,2,2279,Pastoralist,Anth
122,4,2281,Mixed,Anth
110,2,2286,Mixed,Anth
420,1,2289,Mixed,Anth
598,4,2289,Pastoralist,Anth
51,2,2296,Mixed,Anth
133,4,2302,Mixed,Anth
282,1,2302,Mixed,Anth
634,1,2303,Pastoralist,Anth
580,4,2304,Pastoralist,Anth
73,2,2305,Mixed,Anth
805,4,2310,Pastoralist,Anth
298,2,2312,Mixed,Anth
814,4,2313,Pastoralist,Anth
817,4,2313,Pastoralist,Anth
609,1,2318,Pastoralist,Anth
447,2,2319,Pastoralist,Anth
116,2,2320,Mixed,Anth
114,2,2326,Mixed,Anth
608,4,2326,Pastoralist,Anth
128,4,2330,Mixed,Anth
454,2,2332,Mixed,Anth
134,4,2334,Mixed,Anth
797,4,2335,Pastoralist,Anth
59,2,2338,Mixed,Anth
812,4,2339,Pastoralist,Anth
61,2,2340,Mixed,Anth
435,2,2346,Pastoralist,Anth
606,1,2348,Pastoralist,Anth
596,4,2352,Pastoralist,Anth
625,1,2353,Pastoralist,Anth
804,2,2354,Pastoralist,Anth
80,4,2359,Mixed,Anth
139,4,2361,Mixed,Anth
807,3,2371,Non Anth,Non Anth
279,2,2373,Mixed,Anth
583,1,2374,Pastoralist,Anth
437,4,2375,Pastoralist,Anth
72,2,2376,Mixed,Anth
446,2,2386,Mixed,Anth
71,2,2390,Mixed,Anth
445,2,2393,Pastoralist,Anth
422,2,2397,Mixed,Anth
803,1,2398,Fishing/Foraging,Anth
434,4,2407,Pastoralist,Anth
448,1,2407,Pastoralist,Anth
443,1,2411,Pastoralist,Anth
54,2,2413,Mixed,Anth
811,4,2413,Pastoralist,Anth
808,4,2414,Pastoralist,Anth
56,2,2427,Mixed,Anth
50,2,2431,Mixed,Anth
474,1,2431,Mixed,Anth
632,4,2433,Pastoralist,Anth
124,2,2459,Mixed,Anth
125,2,2459,Mixed,Anth
299,1,2459,Mixed,Anth
908,1,2459,Fishing/Foraging,Anth
617,4,2471,Pastoralist,Anth
626,1,2471,Pastoralist,Anth
630,1,2471,Pastoralist,Anth
465,2,2473,Mixed,Anth
455,1,2479,Mixed,Anth
444,1,2493,Mixed,Anth
902,1,2494,Fishing/Foraging,Anth
69,2,2502,Mixed,Anth
129,2,2506,Mixed,Anth
595,1,2509,Pastoralist,Anth
418,4,2521,Pastoralist,Anth
469,4,2530,Mixed,Anth
472,2,2544,Mixed,Anth
628,4,2546,Pastoralist,Anth
450,2,2551,Mixed,Anth
475,1,2551,Mixed,Anth
597,4,2554,Pastoralist,Anth
459,4,2573,Mixed,Anth
67,2,2576,Mixed,Anth
152,2,2580,Mixed,Anth
582,4,2581,Pastoralist,Anth
120,4,2584,Mixed,Anth
456,2,2586,Pastoralist,Anth
760,2,2587,Non Anth,Non Anth
91,4,2592,Mixed,Anth
615,4,2595,Pastoralist,Anth
457,2,2596,Mixed,Anth
90,2,2601,Mixed,Anth
627,4,2602,Pastoralist,Anth
135,4,2615,Mixed,Anth
635,2,2617,Pastoralist,Anth
89,1,2638,Mixed,Anth
93,4,2652,Mixed,Anth
289,1,2667,Mixed,Anth
470,1,2668,Mixed,Anth
142,1,2670,Mixed,Anth
636,4,2672,Pastoralist,Anth
631,4,2710,Pastoralist,Anth
117,1,2720,Mixed,Anth
621,4,2724,Pastoralist,Anth
463,1,2737,Mixed,Anth
466,2,2740,Mixed,Anth
473,1,2748,Mixed,Anth
468,1,2758,Mixed,Anth
464,4,2764,Mixed,Anth
143,4,2776,Mixed,Anth
136,1,2790,Mixed,Anth
704,1,2803,Mixed,Anth
458,4,2842,Pastoralist,Anth
637,4,2842,Pastoralist,Anth
111,4,2882,Mixed,Anth
439,2,2884,Mixed,Anth
108,1,2885,Mixed,Anth
99,1,2922,Mixed,Anth
132,2,2958,Mixed,Anth
119,4,2990,Mixed,Anth
